Philipine region I,Philipine Region II,Philipine Region III,Philipine Region IV-A,Philipine Region IV-B,Philipine Region V,Philipine Region VI,Philipine Region IX,Philipine Region X,Philipine Region XI,Phili ARMM,CAR,CARAGA,NCR
3.634965,2.49402,2.341097,3.863241,5.157452,2.081077,10.818477,8.644785,13.467627,10.15976,3.553945,26.473001,17.014339,2.435092
3.827199,2.061384,5.488658,1.578201,0.800294,0.895347,4.272844,4.272937,1.741988,5.420932,0.650395,4.23364,1.623635,6.227561
5.225262,7.507509,2.505521,5.008808,0.53353,3.436197,12.409429,4.174026,2.472499,8.149348,1.207877,8.263249,3.111967,6.98469
1.800007,3.232046,1.315399,4.308062,2.934412,3.702382,17.788364,15.33114,17.363687,21.414475,4.413396,27.544162,9.369725,2.271388
17.086037,24.506129,8.240433,4.62099,3.323602,2.713393,4.009021,1.965225,2.892544,5.596859,0.548338,16.857501,2.328967,7.380028
15.006147,16.145509,12.99986,14.246555,4.63555,11.020183,25.156978,13.386878,10.925341,25.247661,2.239049,32.661408,5.855687,17.369902
19.423764,57.648228,9.71909,17.548975,28.046533,6.950094,69.44995,15.682884,7.590625,14.689548,1.233761,79.471076,10.912872,8.72856
5.792751,4.380564,2.849495,2.24157,4.664704,1.451903,11.878028,17.628651,20.671557,16.808233,3.609895,7.124301,32.239551,0.919149
16.879767,30.363569,6.315098,5.777736,7.696762,2.380169,6.393568,16.402817,12.233435,6.091219,2.513218,41.842726,8.983157,4.756763
7.013182,3.804833,3.519512,5.430113,8.892092,3.09422,21.460929,13.503624,21.50063,21.010291,7.539653,80.123301,23.622375,3.233794
9.505612,3.929992,9.557362,1.857986,1.253639,1.11868,5.48446,4.202857,1.805537,7.256496,0.845355,6.62259,1.696818,10.010001
12.616852,12.11539,2.926509,7.389989,0.874632,3.665461,18.226886,4.027738,5.324492,6.232465,1.622168,16.405961,3.16074,10.848641
12.101177,16.821367,6.715568,15.073659,10.524738,9.044643,76.156491,19.068518,28.041095,39.230981,4.912198,67.480175,10.813059,10.291784
54.695944,35.745406,26.153747,12.028959,10.233194,4.403313,5.976273,3.015939,2.855696,9.904852,0.479796,39.83588,4.059056,15.404131
43.437037,35.520119,37.605638,27.588092,8.979555,13.352749,35.783118,11.460569,16.673582,24.082384,3.678437,65.573672,10.313995,34.142692
61.932585,78.599841,21.894907,34.450652,34.314729,12.257871,90.851266,12.161045,9.746215,22.228535,1.005287,106.21229,9.81493,22.274266
16.873577,7.435678,6.090374,5.028649,7.169119,3.628785,22.941512,20.516691,27.110255,26.292546,4.96651,15.59418,41.986872,2.580261
36.012743,57.712682,22.952528,14.41389,17.320591,5.080299,19.775144,21.511904,19.4266,9.829314,3.393407,80.586381,14.595592,12.439368
21.184961,9.036073,12.248924,12.645314,19.729415,5.24418,70.774199,17.818134,42.586297,37.406965,9.416143,124.161258,25.165943,9.22559
15.284282,4.333375,9.082535,3.207017,0.745588,1.24081,3.13705,2.698557,1.630965,6.199762,0.314621,5.724446,1.210845,13.574419
9.33288,9.553123,3.007311,6.496567,0.630882,4.050192,11.507404,2.985638,6.831929,6.824948,0.809024,23.095178,5.170636,11.687067
27.592863,36.858313,18.793803,36.397282,29.536769,20.883073,147.324089,18.047799,22.181118,30.877244,1.056226,107.826847,11.781196,31.504267
83.505606,43.309133,56.707138,24.960494,9.778678,7.398039,7.44683,4.612428,4.711675,9.759849,0.651714,74.023007,3.828889,37.535875
35.539336,42.398139,39.18595,31.669291,11.585296,11.448232,28.878453,9.875572,28.233809,20.318546,6.247465,66.916799,11.944823,39.990753
76.658112,72.928739,23.10403,31.280204,25.579415,11.658935,45.369956,7.598066,6.922538,19.69336,0.741606,83.053814,10.635802,25.22849
23.771792,13.664905,12.604953,12.668895,14.166178,11.401409,25.975949,17.741579,29.33924,24.104395,5.595751,17.46943,49.448296,5.800639
71.856413,85.855001,44.829394,25.591286,21.134562,8.498381,26.342427,15.540628,18.611118,8.787337,2.022561,109.109913,18.424481,22.140095
29.587935,21.346798,25.11143,21.56483,24.977209,9.458253,115.850973,21.205685,58.098582,37.910587,7.955405,114.883707,31.351071,17.335926
8.898958,3.851407,6.491048,1.832729,0.677089,0.7831,2.394002,1.995847,1.247983,5.689311,0.397961,2.57312,1.609777,12.211935
5.173039,6.176785,2.585986,5.596782,1.10027,3.316659,7.109898,1.788731,4.902792,7.790769,1.2381,19.516875,5.280067,11.608155
28.792703,43.89151,19.137785,36.202192,10.269182,20.406664,89.270327,11.108958,14.940144,18.17846,0.729595,51.559505,11.719174,43.712366
33.16733,34.78378,35.287154,15.16641,6.319497,5.87325,4.932222,4.029351,4.849307,7.466153,0.176871,45.442276,3.058576,31.636768
20.209783,25.361154,27.670792,29.074269,11.820845,8.982617,18.012704,7.249066,16.241612,15.068987,5.858868,44.908232,9.94842,33.149464
47.605266,56.0513,24.466257,22.938108,13.541779,6.587253,21.502756,4.142323,12.283722,17.221699,0.464288,50.151571,8.918162,24.534239
18.56306,14.703172,16.194083,14.110851,8.463612,10.1803,16.772438,11.429047,28.650133,15.974493,3.869064,17.526348,23.309566,6.862316
59.348563,55.009724,51.734619,37.048959,20.566577,6.402994,26.218652,13.048319,19.111974,8.029959,1.835042,89.913563,24.565191,37.557706
24.268373,11.869117,24.898496,20.345609,13.118598,8.752294,70.017357,13.443722,41.967899,18.127205,5.549343,58.404976,22.762241,17.990044
5.22294,3.681849,4.501255,1.357147,0.28212,0.621874,1.730604,1.186211,1.158842,5.330526,0.110545,0.048549,2.189296,9.115129
4.025323,4.77187,2.399675,4.558623,0.366757,2.763882,7.268537,2.221792,2.192885,7.141538,0.729595,7.622262,6.084956,12.075598
10.745284,20.27439,9.785012,19.951224,3.0469,7.278223,27.386809,4.895473,8.646742,7.978704,0.795922,20.050919,7.469364,27.721937
13.865062,24.076689,17.330592,8.76138,2.915257,4.238702,3.406283,2.353304,2.351086,6.624678,0.413404,13.760357,3.168463,19.301873
13.53767,19.404381,22.053783,20.998772,9.384351,8.477404,14.292196,9.227916,7.649803,15.233396,3.698876,20.927209,10.550983,27.026455
31.429657,36.901697,19.772863,16.489658,5.9971,5.032042,13.000647,3.650401,7.491894,10.458248,0.369888,33.158637,7.604312,19.23798
13.455822,14.016924,18.408711,16.238518,7.662961,9.089409,10.261428,11.840639,27.581401,12.257335,2.502181,12.183649,21.545551,8.970483
40.547531,44.100866,54.199353,48.116241,11.438912,6.029383,22.722747,11.155031,19.528053,7.801651,2.045261,72.002978,28.516171,38.616524
13.324865,6.007253,19.934214,15.713406,8.495891,6.05205,28.144414,11.062381,26.686584,14.409515,3.720634,27.18626,19.390996,14.66329
3.765011,2.979788,2.207579,1.369857,0.388701,0.589338,1.816684,1.408276,0.929907,4.90966,0.065274,0,3.580364,7.91626
1.735179,3.027465,2.398266,3.184918,0.388701,2.312019,2.937919,2.538603,6.175988,4.707893,0.674501,3.057857,4.435849,7.277336
4.878145,10.369663,9.160351,10.422332,1.360453,3.876032,9.693714,2.038295,5.01799,4.052151,0.56571,8.456886,4.404164,19.953575
7.660979,21.192254,10.898544,6.655224,1.749154,3.762698,2.824376,2.316244,2.000178,6.2884,0.413404,12.183649,3.073409,11.845638
